,geometry,species_count
284,POINT (-85.78003143002181 10.465381780985865),17
285,POINT (-85.78003143002181 10.820680180985846),16
286,POINT (-85.78003143002181 10.830549580985846),16
287,POINT (-85.78003143002181 10.840418980985845),16
288,POINT (-85.78003143002181 10.850288380985845),16
289,POINT (-85.78003143002181 10.860157780985844),16
290,POINT (-85.78003143002181 10.870027180985844),16
291,POINT (-85.78003143002181 10.879896580985843),16
292,POINT (-85.78003143002181 10.889765980985842),16
293,POINT (-85.78003143002181 10.899635380985842),16
294,POINT (-85.78003143002181 10.909504780985841),16
295,POINT (-85.78003143002181 10.919374180985841),16
296,POINT (-85.78003143002181 10.92924358098584),16
297,POINT (-85.78003143002181 10.93911298098584),0
298,POINT (-85.78003143002181 10.94898238098584),0
299,POINT (-85.78003143002181 10.958851780985839),0
300,POINT (-85.78003143002181 10.968721180985838),0
301,POINT (-85.78003143002181 10.978590580985838),0
302,POINT (-85.78003143002181 10.988459980985837),0
303,POINT (-85.78003143002181 10.998329380985837),0
304,POINT (-85.78003143002181 11.008198780985836),0
305,POINT (-85.78003143002181 11.018068180985836),0
306,POINT (-85.78003143002181 11.027937580985835),0
307,POINT (-85.77194673002181 10.100213980985885),17
308,POINT (-85.77194673002181 10.110083380985884),17
309,POINT (-85.77194673002181 10.119952780985884),17
310,POINT (-85.77194673002181 10.129822180985883),17
311,POINT (-85.77194673002181 10.139691580985883),17
312,POINT (-85.77194673002181 10.149560980985882),17
313,POINT (-85.77194673002181 10.159430380985881),17
314,POINT (-85.77194673002181 10.169299780985881),17
315,POINT (-85.77194673002181 10.17916918098588),17
316,POINT (-85.77194673002181 10.18903858098588),17
317,POINT (-85.77194673002181 10.19890798098588),17
318,POINT (-85.77194673002181 10.208777380985879),17
319,POINT (-85.77194673002181 10.218646780985878),17
320,POINT (-85.77194673002181 10.228516180985878),17
321,POINT (-85.77194673002181 10.238385580985877),17
322,POINT (-85.77194673002181 10.248254980985877),17
323,POINT (-85.77194673002181 10.258124380985876),17
324,POINT (-85.77194673002181 10.267993780985876),17
325,POINT (-85.77194673002181 10.277863180985875),17
326,POINT (-85.77194673002181 10.287732580985875),17
327,POINT (-85.77194673002181 10.297601980985874),17
328,POINT (-85.77194673002181 10.307471380985874),17
329,POINT (-85.77194673002181 10.317340780985873),17
330,POINT (-85.77194673002181 10.327210180985873),17
331,POINT (-85.77194673002181 10.337079580985872),17
332,POINT (-85.77194673002181 10.346948980985871),17
333,POINT (-85.77194673002181 10.356818380985871),17
334,POINT (-85.77194673002181 10.36668778098587),17
335,POINT (-85.77194673002181 10.37655718098587),17
336,POINT (-85.77194673002181 10.38642658098587),17
337,POINT (-85.77194673002181 10.396295980985869),17
338,POINT (-85.77194673002181 10.406165380985868),17
339,POINT (-85.77194673002181 10.416034780985868),17
340,POINT (-85.77194673002181 10.425904180985867),17
341,POINT (-85.77194673002181 10.435773580985867),17
