,Amphibians,Reptiles,Mammals
718,16,51,115
719,16,53,115
720,16,52,115
721,16,52,113
722,17,32,99
723,17,32,99
724,17,31,99
725,17,32,100
726,17,33,100
727,17,33,100
728,17,33,100
729,17,33,100
730,17,33,100
731,17,33,100
732,17,33,101
733,17,33,102
734,17,33,102
735,17,33,102
736,17,33,102
737,17,33,101
738,17,33,101
739,17,34,100
740,17,34,100
741,17,34,100
742,17,35,100
743,17,36,100
744,17,38,101
745,17,39,101
746,17,39,101
747,17,40,101
748,17,41,101
749,17,41,100
750,17,41,100
751,17,41,100
752,17,41,101
753,17,42,101
754,17,42,102
755,17,44,102
756,17,44,103
757,17,46,103
758,17,47,103
759,17,48,103
760,17,50,105
761,17,51,106
762,17,53,106
763,17,55,106
764,17,55,108
765,17,56,108
766,17,55,108
767,18,56,108
768,19,56,109
769,19,55,110
770,18,55,111
771,18,53,112
772,17,52,112
773,17,52,113
774,17,52,115
775,17,52,116
776,17,52,115
777,17,52,114
778,17,51,115
779,17,50,115
780,16,50,114
781,16,51,114
782,16,51,114
783,16,52,115
784,16,53,115
785,16,52,116
786,17,54,113
787,17,51,111
788,17,32,99
789,17,32,99
790,17,32,99
791,17,31,100
792,17,31,100
793,17,33,100
794,17,33,100
795,17,33,100
796,17,33,100
797,17,33,100
798,17,33,100
799,17,33,100
800,17,33,101
801,17,33,102
802,17,33,102
803,17,33,102
804,17,34,102
805,17,34,101
806,17,34,100
807,17,34,100
808,17,34,100
809,17,36,100
810,17,37,101
811,17,39,101
812,17,39,101
813,17,39,101
814,17,41,101
815,17,41,101
816,17,41,100
817,17,41,101
818,17,42,101
819,17,42,101
820,17,42,102
821,17,43,102
822,17,44,103
823,17,46,103
824,17,46,104
825,17,48,104
826,17,48,105
827,17,52,106
828,17,53,106
829,17,53,106
830,17,55,107
831,17,55,107
832,17,57,108
833,18,59,108
834,18,57,109
835,18,57,110
836,20,55,110
837,19,57,110
838,19,54,113
839,18,53,114
840,18,54,114
841,17,53,116
842,17,52,116
843,17,52,115
844,17,52,116
845,17,52,118
846,16,52,116
847,16,52,114
848,16,53,114
849,16,52,114
850,16,52,116
851,16,53,116
852,17,53,113
853,17,51,113
854,17,48,111
855,17,32,99
856,17,32,99
857,17,31,100
858,17,31,100
859,17,31,100
860,17,32,100
861,17,33,100
862,17,33,100
863,17,33,100
864,17,33,100
865,17,33,100
866,17,33,100
867,17,33,101
868,17,33,101
869,17,33,102
870,17,33,102
871,17,34,102
872,17,34,101
873,17,34,100
874,17,34,100
875,17,35,100
876,17,37,101
877,17,37,101
878,17,39,101
879,17,39,101
880,17,39,101
881,17,41,101
882,17,41,101
883,17,42,101
884,17,42,101
885,17,42,101
886,17,42,101
887,17,42,102
888,17,43,103
889,17,44,103
890,17,46,103
891,17,46,104
892,17,48,105
893,17,51,105
894,17,52,106
895,17,53,106
896,17,55,107
897,17,55,107
898,17,56,107
899,17,58,108
900,18,60,108
901,18,60,109
902,19,56,111
903,20,58,111
904,19,56,111
905,19,54,114
906,19,53,114
907,18,53,115
908,18,52,116
909,18,52,116
910,18,53,116
911,18,52,116
912,17,54,118
913,16,53,117
914,17,55,115
915,17,55,117
916,17,52,115
917,16,51,115
918,17,51,115
919,17,51,114
920,17,48,112
921,16,46,108
922,17,32,99
923,17,32,99
924,17,31,100
925,17,31,100
926,17,31,100
927,17,32,100
928,17,33,100
929,17,32,100
930,17,33,100
931,17,33,100
932,17,33,100
933,17,33,100
934,17,33,101
935,17,33,101
936,17,33,102
937,17,33,102
938,17,34,102
939,17,35,102
940,17,34,100
941,17,34,101
942,17,35,101
943,17,37,101
944,17,37,101
945,17,39,101
946,17,39,101
947,17,41,101
948,17,41,102
949,17,42,102
950,17,42,101
